X,Y,angle,spin,spin_rate( 0.0Å`1.0 ),size
690,657,90,2,0.4,60
429,607,90,2,0.2,100
814,479,90,2,0.6,80
593,419,90,2,0.7,60
690,231,90,2,0.4,100
479,141,90,2,0.6,80
750,33,90,2,0.7,60
479,-57,90,2,0.2,100
633,-243,90,2,0.3,80
824,-377,90,2,0.5,100
529,-527,90,2,0.2,100
449,-607,90,2,1,60
864,-739,90,2,0.6,80
660,-962,90,2,0.2,100
864,-1156,90,2,0.6,80
449,-1156,90,2,0.7,60
670,-1329,90,2,0.5,100
449,-1490,90,2,0.3,80
864,-1637,90,2,0.7,60
633,-1775,90,2,0.3,80
479,-1911,90,2,0.5,100
814,-2093,90,2,0.2,100
399,-2306,90,2,0.3,80
690,-6430,90,2,0.2,100
